설치_주소,위도,경도
대구광역시 달서구 야외음악당로 38,35.84061122,128.55314779999998
대구광역시 달서구 성당로51길 32,35.85569114,128.57219650000002
대구광역시 달서구 당산로 176,35.84994411,128.55029009999998
대구광역시 달서구 당산로 37-14,35.8410174,128.5431658
대구광역시 달서구 감삼북길 119-10,35.8510266,128.5421825
대구광역시 달서구 와룡로54길 28,35.85578734,128.5398014
대구광역시 달서구 장기로 277,35.84332056,128.53001940000001
대구광역시 달서구 용산로 212-7,35.85663686,128.5312265
대구광역시 달서구 선원로 278,35.85843068,128.5229898
대구광역시 달서구 달구벌대로 1309,35.8516518,128.5106562
대구광역시 달서구 계대동문로 77,35.85580334,128.500829
대구광역시 달서구 선원로 60,35.85896631,128.49883390000002
대구광역시 달서구 조암남로 97,35.81951189,128.52283329999997
대구광역시 달서구 월성로 65,35.83095298,128.5282767
대구광역시 달서구 진천로9길 33,35.81222021,128.5228075
대구광역시 달서구 상인서로 40,35.81426653,128.54500819999998
대구광역시 달서구 상원로 27,35.81255741,128.53625459999998
대구광역시 달서구 상인로 25,35.81006963,128.5502023
대구광역시 달서구 한실로 53,35.80748297,128.53219270000002
대구광역시 달서구 중흥로8길 41,35.82922897,128.554762
대구광역시 달서구 월배로83길 120-14,35.83278631,128.5455779
대구광역시 달서구 구마로26길 62,35.83443829,128.5410399
