시도명,시군구명,설치위치,설치지점,쓰레기통 종류,데이터기준일자
대구광역시,서구,대구광역시 서구 달구벌대로 1807 튼튼병원,도로변 버스정류장,일반,2020-11-25
대구광역시,서구,대구광역시 서구 내당동 1290 광장코아,도로변 버스정류장,일반,2020-11-25
대구광역시,서구,대구광역시 서구 국채보상로 250-1,서구청 건너 승강장 앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 국채보상로 257 구청,토큰판매소앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 국채보상로 257 구청,분수대 앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 평리동 1621-12,대구은행서구청출장소 앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 서대구로 156 로또명가 앞,로또명가 앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 염색공단로 21 비산7동,지구대 앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 서대구로 295 북부정류장,외국인 쉼터 안,일반,2020-11-25
대구광역시,서구,대구광역시 서구 팔달로 54 이마트트레이더스,버스승강장 앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 국채보상로 117,이현지구대 앞,일반,2020-11-25
대구광역시,서구,대구광역시 서구 원대로13길 2 금류타운,버스승강장 앞,일반,2020-11-25
